"id","perm1_concerned","perm1_necessary","perm1_understand","perm2_concerned","perm2_necessary","perm2_understand","perm3_concerned","perm3_necessary","perm3_understand","perm4_concerned","perm4_necessary","perm4_understand","perm5_concerned","perm5_necessary","perm5_understand","perm6_concerned","perm6_necessary","perm6_understand"
"1021","Not concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"1016",,,,,,,,,,,,,,,,,,
"1030",,,,,,,,,,,,,,,,,,
"1031",,,,,,,,,,,,,,,,,,
"1032",,,,,,,,,,,,,,,,,,
"1033",,,,,,,,,,,,,,,,,,
"1034",,,,"Not concerned","Not necessary","Very confident",,,,,,,,,,,,
"1035","Not concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"1022",,,,,,,,,,,,,,,,,,
"1023",,,,,,,,,,,,,,,,,,
"1024",,,,,,,,,,,,,,,,,,
"1025",,,,"Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,
"1026","Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"1027",,,,,,,,,,,,,,,,,,
"1028",,,,"Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,
"1029","Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"1046","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"1047",,,,"Moderately concerned","Not necessary","Not confident",,,,,,,,,,,,
"1048",,,,,,,,,,,,,,,,,,
"1040",,,,,,,,,,,,,,,,,,
"1041",,,,,,,,,,,,,,,,,,
"1042",,,,,,,,,,,,,,,,,,
"1043",,,,,,,,,,,,,,,,,,
"1044","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"1045",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"1036",,,,,,,,,,,,,,,,,,
"1037",,,,,,,,,,,,,,,,,,
"1038","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"1039",,,,"Not concerned","Necessary","Confident",,,,,,,,,,,,
"1053",,,,,,,,,,,,,"Not concerned","Not necessary","Moderately confident",,,
"1049",,,,,,,,,,,,,"Not concerned","Not necessary","Confident",,,
"1050",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"1051","Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,,,,
"1052",,,,,,,,,,,,,"Not concerned","Not necessary","Moderately confident",,,
"1062",,,,,,,,,,,,,"Concerned","Not necessary","Not confident",,,
"1059",,,,,,,,,,,,,,,,,,
"1060","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"1061",,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"1054","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"1055",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"1056",,,,,,,,,,,,,,,,,,
"1057",,,,,,,,,,,,,,,,,,
"1058",,,,,,,,,,,,,,,,,,
"1067",,,,,,,"Not concerned","Moderately necessary","Moderately confident",,,,,,,,,
"1068",,,,,,,,,,,,,,,,"Not concerned","Moderately necessary","Moderately confident"
"1069",,,,,,,,,,"Not concerned","Moderately necessary","Moderately confident",,,,,,
"1070","Not concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"1071",,,,"Not concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"1066",,,,,,,,,,,,,,,,,,
"1063",,,,,,,,,,,,,,,,,,
"1064","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"1065",,,,"Slightly concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"1072",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"1073",,,,,,,,,,"Not concerned","Moderately necessary","Very confident",,,,,,
"1074",,,,,,,,,,,,,,,,"Not concerned","Moderately necessary","Very confident"
"1075",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"1076",,,,,,,,,,,,,,,,"Not concerned","Necessary","Very confident"
"1077",,,,,,,,,,"Slightly concerned","Necessary","Moderately confident",,,,,,
"1078",,,,,,,,,,,,,,,,,,
"1079","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"1080",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"1081",,,,,,,"Very concerned","Not necessary","Slightly confident",,,,,,,,,
"1082",,,,,,,,,,,,,,,,"Very concerned","Not necessary","Slightly confident"
"1083","Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"1084",,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"1085",,,,,,,,,,,,,,,,,,
"1086",,,,,,,"Slightly concerned","Not necessary","Moderately confident",,,,,,,,,
"1087",,,,,,,,,,,,,,,,"Slightly concerned","Not necessary","Moderately confident"
"1088",,,,,,,,,,"Slightly concerned","Not necessary","Moderately confident",,,,,,
"1089","Not concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"1090",,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"1096",,,,,,,,,,,,,,,,,,
"1097","Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"1098",,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"1091",,,,,,,"Slightly concerned","Necessary","Moderately confident",,,,,,,,,
"1092",,,,,,,,,,,,,,,,"Slightly concerned","Necessary","Moderately confident"
"1093",,,,,,,,,,"Slightly concerned","Necessary","Moderately confident",,,,,,
"1094","Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"1095",,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"1099",,,,,,,,,,,,,,,,,,
"1100",,,,,,,,,,,,,,,,,,
"1101",,,,,,,,,,,,,,,,,,
"1102",,,,"Moderately concerned","Not necessary","Slightly confident",,,,,,,,,,,,
"1103","Not concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"1104",,,,,,,,,,,,,,,,,,
"1105",,,,"Moderately concerned","Not necessary","Not confident",,,,,,,,,,,,
"1106","Moderately concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"1112",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"1113","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"1114",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"1107",,,,,,,"Not concerned","Very necessary","Confident",,,,,,,,,
"1108",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Confident"
"1109",,,,,,,,,,"Not concerned","Very necessary","Confident",,,,,,
"1110","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"1111",,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"1115",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"1116",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"1117",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"1118",,,,,,,,,,,,,,,,,,
"1119",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"1120","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"1121",,,,,,,,,,,,,,,,,,
"1127",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"1128",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"1129",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"1130",,,,,,,,,,,,,,,,,,
"1131",,,,"Not concerned","Very necessary","Very confident",,,,,,,,,,,,
"1132","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"1123",,,,,,,,,,,,,,,,,,
"1124",,,,,,,,,,,,,,,,,,
"1125","Slightly concerned","Necessary","Confident",,,,,,,,,,,,,,,
"1126",,,,"Concerned","Slightly necessary","Confident",,,,,,,,,,,,
"1122",,,,,,,"Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,
"1135",,,,,,,,,,,,,,,,,,
"1136",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"1133",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"1134",,,,,,,,,,,,,"Not concerned","Moderately necessary","Confident",,,
"1144",,,,,,,,,,,,,,,,,,
"1145",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"1142",,,,,,,,,,,,,,,,,,
"1143",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"1137",,,,,,,,,,,,,,,,,,
"1138","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"1139",,,,"Not concerned","Moderately necessary","Confident",,,,,,,,,,,,
"1140",,,,,,,,,,,,,,,,,,
"1141",,,,,,,,,,,,,,,,,,
"1146",,,,,,,,,,,,,,,,,,
"1147","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"1148",,,,"Not concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"1154",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"1155",,,,,,,,,,,,,"Slightly concerned","Necessary","Confident",,,
"1149",,,,,,,,,,,,,,,,,,
"1150",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"1151",,,,"Concerned","Not necessary","Confident",,,,,,,,,,,,
"1152",,,,,,,,,,,,,,,,,,
"1153",,,,,,,,,,,,,,,,,,
"1159",,,,,,,,,,,,,,,,,,
"1156",,,,,,,,,,"Moderately concerned","Not necessary","Very confident",,,,,,
"1157",,,,"Moderately concerned","Not necessary","Very confident",,,,,,,,,,,,
"1158","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"1160",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"1161",,,,,,,,,,,,,,,,,,
"1163",,,,,,,,,,,,,,,,,,
"1164",,,,,,,,,,,,,,,,,,
"1165",,,,,,,,,,,,,,,,,,
"1166","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"1167",,,,"Slightly concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"1168",,,,,,,,,,,,,,,,,,
"1169","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"1170",,,,"Slightly concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"1162",,,,,,,,,,,,,,,,,,
"1171",,,,,,,,,,,,,,,,,,
"1172",,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"1173","Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"1178",,,,,,,,,,,,,,,,,,
"1179",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"1180","Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,,,,
"1174",,,,,,,,,,,,,,,,,,
"1175",,,,,,,,,,,,,,,,,,
"1176",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"1177","Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,,,,
"1186",,,,,,,,,,,,,,,,,,
"1187",,,,,,,,,,,,,,,,,,
"1188",,,,"Not concerned","Not necessary","Very confident",,,,,,,,,,,,
"1189","Not concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"1181",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"1182",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"1183",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"1184","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"1185",,,,,,,,,,,,,,,,,,
"1190",,,,,,,,,,,,,,,,,,
"1191",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"1192","Not concerned","Slightly necessary","Very confident",,,,,,,,,,,,,,,
"1193",,,,"Slightly concerned","Slightly necessary","Confident",,,,,,,,,,,,
"1194",,,,,,,,,,,,,,,,,,
"1195",,,,,,,,,,,,,,,,,,
"1196",,,,,,,,,,,,,,,,,,
"1197",,,,,,,,,,,,,,,,,,
"1198",,,,,,,,,,,,,,,,,,
"1199",,,,,,,,,,,,,,,,,,
"1200",,,,,,,,,,,,,,,,,,
"1201",,,,,,,,,,,,,,,,,,
